Trust,TrustInScience,TrustInEdScience,Topic,Source,Consistency,lfdn,weight0
3,4,3,Integration,Scientific Study,Inconsistent,66,0.574
3,4,3,Retention,Episodic Evidence,Inconsistent,66,0.574
1,4,4,Grades,Episodic Evidence,Inconsistent,67,1.209
4,4,4,Retention,Scientific Study,Inconsistent,67,1.209
2,3,3,Retention,Scientific Study,Inconsistent,69,1.421
NA,3,3,Integration,Episodic Evidence,Inconsistent,69,1.421
3,3,2,Integration,Episodic Evidence,Consistent,70,0.782
3,3,2,Grades,Scientific Study,Inconsistent,70,0.782
3,4,4,Grades,Scientific Study,Inconsistent,71,0.871
1,4,4,Integration,Episodic Evidence,Consistent,71,0.871
4,4,4,Integration,Episodic Evidence,Consistent,72,1.143
4,4,4,Grades,Scientific Study,Inconsistent,72,1.143
4,5,4,Grades,Episodic Evidence,Consistent,73,0.842
2,5,4,Signalling,Scientific Study,Inconsistent,73,0.842
NA,3,2,Grades,Scientific Study,Consistent,74,1.143
1,3,2,Signalling,Episodic Evidence,Inconsistent,74,1.143
2,3,2,Integration,Episodic Evidence,Consistent,75,0.744
4,3,2,Signalling,Scientific Study,Inconsistent,75,0.744
3,4,4,Signalling,Episodic Evidence,Inconsistent,76,1.209
4,4,4,Integration,Scientific Study,Consistent,76,1.209
NA,4,3,Retention,Scientific Study,Consistent,77,1.143
NA,4,3,Grades,Episodic Evidence,Consistent,77,1.143
NA,4,3,Retention,Episodic Evidence,Inconsistent,78,0.922
NA,4,3,Signalling,Scientific Study,Inconsistent,78,0.922
4,4,4,Grades,Scientific Study,Inconsistent,81,1.205
3,4,4,Signalling,Episodic Evidence,Consistent,81,1.205
NA,4,3,Integration,Scientific Study,Inconsistent,82,1.139
4,4,3,Retention,Episodic Evidence,Inconsistent,82,1.139
NA,4,4,Grades,Episodic Evidence,Consistent,83,0.919
4,4,4,Retention,Scientific Study,Consistent,83,0.919
4,4,4,Grades,Scientific Study,Inconsistent,84,0.804
3,4,4,Retention,Episodic Evidence,Inconsistent,84,0.804
4,4,4,Grades,Scientific Study,Inconsistent,85,0.779
4,4,4,Integration,Episodic Evidence,Consistent,85,0.779
3,3,3,Retention,Episodic Evidence,Inconsistent,86,1.101
3,3,3,Grades,Scientific Study,Inconsistent,86,1.101
3,3,4,Grades,Scientific Study,Consistent,89,0.782
3,3,4,Integration,Episodic Evidence,Inconsistent,89,0.782
4,4,4,Signalling,Scientific Study,Consistent,91,1.101
4,4,4,Integration,Episodic Evidence,Inconsistent,91,1.101
2,4,4,Signalling,Episodic Evidence,Inconsistent,92,1.205
4,4,4,Integration,Scientific Study,Consistent,92,1.205
NA,5,5,Signalling,Scientific Study,Inconsistent,93,1.101
2,5,5,Integration,Episodic Evidence,Consistent,93,1.101
3,4,3,Signalling,Scientific Study,Consistent,96,0.922
2,4,3,Retention,Episodic Evidence,Consistent,96,0.922
NA,3,1,Integration,Episodic Evidence,Inconsistent,98,0.922
NA,3,1,Retention,Scientific Study,Inconsistent,98,0.922
4,4,4,Integration,Episodic Evidence,Inconsistent,99,0.796
4,4,4,Retention,Scientific Study,Inconsistent,99,0.796
4,4,4,Integration,Episodic Evidence,Consistent,100,1.205
4,4,4,Retention,Scientific Study,Consistent,100,1.205
2,4,1,Integration,Scientific Study,Inconsistent,101,0.842
2,4,1,Signalling,Episodic Evidence,Consistent,101,0.842
3,4,3,Integration,Scientific Study,Consistent,102,0.871
3,4,3,Retention,Episodic Evidence,Consistent,102,0.871
NA,3,3,Integration,Scientific Study,Consistent,103,0.514
4,3,3,Grades,Episodic Evidence,Inconsistent,103,0.514
4,3,3,Retention,Episodic Evidence,Consistent,104,1.209
4,3,3,Integration,Scientific Study,Consistent,104,1.209
3,3,4,Integration,Scientific Study,Inconsistent,105,1.143
3,3,4,Signalling,Episodic Evidence,Consistent,105,1.143
NA,4,3,Grades,Scientific Study,Consistent,106,0.615
NA,4,3,Retention,Episodic Evidence,Consistent,106,0.615
3,4,4,Signalling,Episodic Evidence,Consistent,107,1.143
3,4,4,Retention,Scientific Study,Consistent,107,1.143
NA,4,4,Signalling,Scientific Study,Inconsistent,108,0.922
2,4,4,Retention,Episodic Evidence,Inconsistent,108,0.922
3,4,3,Grades,Scientific Study,Inconsistent,109,1.101
3,4,3,Retention,Episodic Evidence,Inconsistent,109,1.101
4,4,4,Grades,Scientific Study,Consistent,111,2.168
2,4,4,Signalling,Episodic Evidence,Inconsistent,111,2.168
NA,4,4,Signalling,Scientific Study,Inconsistent,114,0.779
NA,4,4,Grades,Episodic Evidence,Consistent,114,0.779
3,4,4,Retention,Scientific Study,Inconsistent,115,0.842
NA,4,4,Integration,Episodic Evidence,Inconsistent,115,0.842
2,4,4,Retention,Episodic Evidence,Inconsistent,118,0.75
2,4,4,Grades,Scientific Study,Inconsistent,118,0.75
3,3,1,Retention,Episodic Evidence,Inconsistent,119,0.874
2,3,1,Integration,Scientific Study,Inconsistent,119,0.874
3,4,4,Signalling,Episodic Evidence,Inconsistent,120,1.143
3,4,4,Grades,Scientific Study,Consistent,120,1.143
5,4,4,Signalling,Episodic Evidence,Consistent,122,0.782
3,4,4,Integration,Scientific Study,Inconsistent,122,0.782
3,4,2,Signalling,Episodic Evidence,Inconsistent,123,1.209
4,4,2,Integration,Scientific Study,Consistent,123,1.209
4,4,4,Signalling,Episodic Evidence,Inconsistent,124,0.629
3,4,4,Grades,Scientific Study,Consistent,124,0.629
4,5,2,Retention,Episodic Evidence,Consistent,125,0.712
4,5,2,Signalling,Scientific Study,Consistent,125,0.712
4,4,3,Retention,Episodic Evidence,Consistent,126,0.842
3,4,3,Integration,Scientific Study,Consistent,126,0.842
NA,4,3,Grades,Scientific Study,Inconsistent,127,1.205
3,4,3,Signalling,Episodic Evidence,Consistent,127,1.205
2,4,4,Retention,Episodic Evidence,Consistent,129,0.851
4,4,4,Signalling,Scientific Study,Consistent,129,0.851
3,4,3,Signalling,Scientific Study,Consistent,130,0.703
3,4,3,Integration,Episodic Evidence,Inconsistent,130,0.703
3,3,3,Grades,Scientific Study,Inconsistent,131,0.736
3,3,3,Retention,Episodic Evidence,Inconsistent,131,0.736
2,4,2,Grades,Scientific Study,Inconsistent,133,0.874
1,4,2,Retention,Episodic Evidence,Inconsistent,133,0.874
3,3,4,Retention,Scientific Study,Inconsistent,134,0.851
NA,3,4,Grades,Episodic Evidence,Inconsistent,134,0.851
2,4,4,Grades,Episodic Evidence,Inconsistent,135,1.101
5,4,4,Signalling,Scientific Study,Consistent,135,1.101
3,4,3,Integration,Episodic Evidence,Inconsistent,137,0.52
3,4,3,Signalling,Scientific Study,Consistent,137,0.52
1,4,4,Grades,Episodic Evidence,Inconsistent,139,1.205
4,4,4,Retention,Scientific Study,Inconsistent,139,1.205
3,4,3,Grades,Episodic Evidence,Consistent,141,1.16
4,4,3,Retention,Scientific Study,Consistent,141,1.16
4,3,4,Signalling,Scientific Study,Inconsistent,143,1.16
1,3,4,Grades,Episodic Evidence,Consistent,143,1.16
3,4,2,Signalling,Scientific Study,Inconsistent,144,1.16
1,4,2,Integration,Episodic Evidence,Consistent,144,1.16
3,4,4,Integration,Episodic Evidence,Consistent,145,0.782
3,4,4,Grades,Scientific Study,Inconsistent,145,0.782
2,5,4,Retention,Episodic Evidence,Consistent,146,0.842
4,5,4,Grades,Scientific Study,Consistent,146,0.842
4,4,2,Signalling,Episodic Evidence,Consistent,147,0.52
4,4,2,Integration,Scientific Study,Inconsistent,147,0.52
1,3,1,Retention,Scientific Study,Inconsistent,148,0.925
3,3,1,Signalling,Episodic Evidence,Inconsistent,148,0.925
3,3,3,Retention,Episodic Evidence,Consistent,150,1.096
4,3,3,Grades,Scientific Study,Consistent,150,1.096
3,4,3,Integration,Scientific Study,Inconsistent,151,0.481
3,4,3,Retention,Episodic Evidence,Inconsistent,151,0.481
NA,4,3,Signalling,Episodic Evidence,Inconsistent,153,0.629
NA,4,3,Retention,Scientific Study,Inconsistent,153,0.629
1,4,2,Signalling,Episodic Evidence,Consistent,154,0.712
2,4,2,Integration,Scientific Study,Inconsistent,154,0.712
3,4,4,Retention,Episodic Evidence,Inconsistent,156,1.205
4,4,4,Signalling,Scientific Study,Inconsistent,156,1.205
3,4,3,Retention,Episodic Evidence,Inconsistent,157,1.101
3,4,3,Grades,Scientific Study,Inconsistent,157,1.101
2,4,3,Grades,Scientific Study,Inconsistent,159,1.205
2,4,3,Integration,Episodic Evidence,Consistent,159,1.205
3,4,3,Signalling,Episodic Evidence,Consistent,161,0.851
3,4,3,Grades,Scientific Study,Inconsistent,161,0.851
1,4,3,Integration,Episodic Evidence,Consistent,162,1.504
5,4,3,Retention,Scientific Study,Consistent,162,1.504
NA,5,4,Grades,Scientific Study,Consistent,163,1.143
NA,5,4,Retention,Episodic Evidence,Consistent,163,1.143
3,3,4,Retention,Scientific Study,Inconsistent,164,0.651
4,3,4,Grades,Episodic Evidence,Inconsistent,164,0.651
1,4,4,Integration,Episodic Evidence,Inconsistent,166,1.209
4,4,4,Grades,Scientific Study,Consistent,166,1.209
2,4,3,Integration,Episodic Evidence,Inconsistent,167,0.838
4,4,3,Signalling,Scientific Study,Consistent,167,0.838
NA,4,3,Signalling,Scientific Study,Inconsistent,168,1.205
3,4,3,Retention,Episodic Evidence,Inconsistent,168,1.205
5,4,3,Grades,Scientific Study,Consistent,169,1.16
1,4,3,Signalling,Episodic Evidence,Inconsistent,169,1.16
3,3,3,Retention,Scientific Study,Inconsistent,170,1.096
3,3,3,Grades,Episodic Evidence,Inconsistent,170,1.096
3,4,3,Integration,Episodic Evidence,Consistent,171,0.871
2,4,3,Retention,Scientific Study,Consistent,171,0.871
4,4,4,Signalling,Scientific Study,Inconsistent,172,1.041
3,4,4,Grades,Episodic Evidence,Consistent,172,1.041
3,4,2,Integration,Episodic Evidence,Consistent,173,0.782
NA,4,2,Grades,Scientific Study,Inconsistent,173,0.782
2,3,4,Grades,Episodic Evidence,Inconsistent,175,1.16
4,3,4,Retention,Scientific Study,Inconsistent,175,1.16
4,4,4,Retention,Episodic Evidence,Consistent,176,0.712
2,4,4,Grades,Scientific Study,Consistent,176,0.712
2,4,4,Grades,Episodic Evidence,Consistent,177,0.779
3,4,4,Integration,Scientific Study,Inconsistent,177,0.779
1,4,4,Grades,Episodic Evidence,Consistent,179,1.209
4,4,4,Retention,Scientific Study,Consistent,179,1.209
3,3,3,Retention,Episodic Evidence,Inconsistent,180,1.515
3,3,3,Grades,Scientific Study,Inconsistent,180,1.515
3,4,3,Signalling,Scientific Study,Consistent,182,1.209
2,4,3,Grades,Episodic Evidence,Inconsistent,182,1.209
3,4,4,Signalling,Episodic Evidence,Inconsistent,183,0.922
4,4,4,Integration,Scientific Study,Consistent,183,0.922
4,4,3,Retention,Scientific Study,Consistent,184,0.922
3,4,3,Integration,Episodic Evidence,Consistent,184,0.922
NA,4,3,Signalling,Episodic Evidence,Inconsistent,185,0.544
2,4,3,Integration,Scientific Study,Consistent,185,0.544
NA,4,4,Grades,Episodic Evidence,Inconsistent,186,1.101
NA,4,4,Signalling,Scientific Study,Consistent,186,1.101
NA,4,4,Grades,Scientific Study,Inconsistent,187,0.779
NA,4,4,Integration,Episodic Evidence,Consistent,187,0.779
4,4,4,Grades,Scientific Study,Consistent,188,1.101
3,4,4,Retention,Episodic Evidence,Consistent,188,1.101
2,4,4,Integration,Episodic Evidence,Consistent,189,0.75
4,4,4,Grades,Scientific Study,Inconsistent,189,0.75
4,4,4,Integration,Episodic Evidence,Consistent,191,1.209
3,4,4,Retention,Scientific Study,Consistent,191,1.209
2,4,3,Grades,Episodic Evidence,Inconsistent,192,1.209
3,4,3,Signalling,Scientific Study,Consistent,192,1.209
2,4,4,Grades,Episodic Evidence,Consistent,194,1.041
4,4,4,Integration,Scientific Study,Inconsistent,194,1.041
3,3,3,Retention,Scientific Study,Consistent,196,1.101
2,3,3,Grades,Episodic Evidence,Consistent,196,1.101
4,4,4,Integration,Scientific Study,Consistent,197,1.101
4,4,4,Signalling,Episodic Evidence,Inconsistent,197,1.101
2,4,4,Signalling,Episodic Evidence,Inconsistent,198,0.922
4,4,4,Retention,Scientific Study,Inconsistent,198,0.922
4,4,3,Grades,Episodic Evidence,Consistent,199,0.615
5,4,3,Retention,Scientific Study,Consistent,199,0.615
3,3,4,Retention,Episodic Evidence,Consistent,200,1.209
4,3,4,Signalling,Scientific Study,Consistent,200,1.209
4,5,2,Integration,Episodic Evidence,Consistent,202,0.851
2,5,2,Grades,Scientific Study,Inconsistent,202,0.851
3,4,3,Retention,Scientific Study,Inconsistent,203,1.205
4,4,3,Signalling,Episodic Evidence,Inconsistent,203,1.205
4,5,3,Grades,Scientific Study,Consistent,205,1.101
1,5,3,Integration,Episodic Evidence,Inconsistent,205,1.101
2,4,3,Grades,Episodic Evidence,Inconsistent,206,1.101
4,4,3,Integration,Scientific Study,Consistent,206,1.101
2,3,3,Signalling,Episodic Evidence,Inconsistent,207,1.16
4,3,3,Grades,Scientific Study,Consistent,207,1.16
4,3,4,Signalling,Scientific Study,Consistent,209,0.782
3,3,4,Integration,Episodic Evidence,Inconsistent,209,0.782
5,4,3,Integration,Scientific Study,Consistent,210,0.922
3,4,3,Signalling,Episodic Evidence,Inconsistent,210,0.922
